filename,gd_year,title,doi,pages,authors
GD01_176-191.pdf,GD01,Drawing with Fat Edges,10.1007/3-540-45848-4_14 ,176-191,Christian A. Duncan; Alon Efrat; Stephen G. Kobourov; Carola Wenk
GD01_192-202.pdf,GD01,Detecting Symmetries by Branch & Cut,10.1007/3-540-45848-4_15 ,192-202,Christoph Buchheim; Michael Jünger
GD01_203-218.pdf,GD01,Drawing Graphs Symmetrically in Three Dimensions,10.1007/3-540-45848-4_16,203-218,Seok-Hee Hong
GD01_219-233.pdf,GD01,User Hints for Directed Graph Drawing,10.1007/3-540-45848-4_17,219-233,Hugo A. D. Nascimento; Peter Eades
GD01_234-245.pdf,GD01,Graph Drawing in Motion II,10.1007/3-540-45848-4_18,234-245,Carsten Friedrich; Michael E. Houle
GD01_246-260.pdf,GD01,Online Hierarchical Graph Drawing,10.1007/3-540-45848-4_19,246-260,Stephen C. North; Gordon Woodhull
GD01_261-274.pdf,GD01,Recognizing String Graphs Is Decidable,10.1007/3-540-45848-4_20,261-274,János Pach; Géza Tóth
GD01_275-285.pdf,GD01,On Intersection Graphs of Segments with Prescribed Slopes,10.1007/3-540-45848-4_21 ,275-285,Jakub Černý; Daniel Král; Helena Nyklová; Ondřej Pangrác
GD01_286-300.pdf,GD01,A Short Note on the History of Graph Drawing,10.1007/3-540-45848-4_22,286-300,Eriola Kruja; Joe Marks; Ann Blair; Richard Waters
GD01_301-310.pdf,GD01,Towards an Aesthetic Invariant for Graph Drawing,10.1007/3-540-45848-4_23,301-310,Jan Adamec; Jaroslav Nešetřil
GD01_311-325.pdf,GD01,Orthogonal Drawings with Few Layers,10.1007/3-540-45848-4_24,311-325,Therese Biedl; John R. Johansen; Thomas Shermer; David R. Wood
GD01_326-341.pdf,GD01,Bounded Degree Book Embeddings and Three-Dimensional Orthogonal Graph Drawing,10.1007/3-540-45848-4_25,326-341,David R. Wood
GD01_342-356.pdf,GD01,Straight-Line Drawings on Restricted Integer Grids in Two and Three Dimensions,10.1007/3-540-45848-4_26 ,342-356,Stefan Felsner; Giuseppe Liotta; Stephen Wismath
GD01_357-365.pdf,GD01,Low-Distortion Embeddings of Trees,10.1007/3-540-45848-4_27 ,357-365,Robert Babilon; Jiří Matoušek; Jana Maxová; Pavel Valtr
GD01_366-380.pdf,GD01,Insight into Data through Visualization,10.1007/3-540-45848-4_28,366-380,Eduard Gröller
GD01_381-391.pdf,GD01,Floor-Planning via Orderly Spanning Trees,10.1007/3-540-45848-4_29,381-391,Liao Chien-Chih; Hsueh I. Lu; Yen Hsu-Chun
GD01_392-405.pdf,GD01,Disconnected Graph Layout and the Polyomino Packing Approach,10.1007/3-540-45848-4_30,392-405,Karlis Freivalds; Ugur Dogrusoz; Paulis Kikusts
GD01_406-420.pdf,GD01,Orthogonal Drawings of Plane Graphs without Bends,10.1007/3-540-45848-4_31,406-420,Md. Saidur Rahman; Mahmuda Naznin; Takao Nishizeki
GD01_421-435.pdf,GD01,Polar Coordinate Drawing of Planar Graphs with Good Angular Resolution,10.1007/3-540-45848-4_32 ,421-435,Christian A. Duncan; Stephen G. Kobourov
GD01_436-448.pdf,GD01,On Polar Visibility Representations of Graphs,10.1007/3-540-45848-4_33 ,436-448,Joan P. Hutchinson
GD02_14-24.pdf,GD02,Sketch-Driven Orthogonal Graph Drawing,10.1007/3-540-36151-0_1,14-24,Ulrik Brandes; Markus Eiglsperger; Michael Kaufmann; Dorothea Wagner
GD02_25-35.pdf,GD02,Maintaining the Mental Map for Circular Drawings,10.1007/3-540-36151-0_2,25-35,Michael Kaufmann; Roland Wiese
GD02_36-44.pdf,GD02,"Graphs, They Are Changing",10.1007/3-540-36151-0_3,36-44,Stephan Diehl; Carsten Görg
GD02_45-55.pdf,GD02,Drawing Graphs on Two and Three Lines,10.1007/3-540-36151-0_4,45-55,Sabine Cornelsen; Thomas Schank; Dorothea Wagner
GD02_56-67.pdf,GD02,Path-Width and Three-Dimensional Straight-Line Grid Drawings of Graphs,10.1007/3-540-36151-0_5,56-67,Vida Dujmović; Pat Morin; David R. Wood
GD02_68-79.pdf,GD02,Drawing Outer-Planar Graphs O n n in ( log ) Area,10.1007/3-540-36151-0_6,68-79,Therese Biedl
GD02_80-87.pdf,GD02,Computing Labeled Orthogonal Drawings,10.1007/3-540-36151-0_7,80-87,Carla Binucci; Walter Didimo; Giuseppe Liotta; Maddalena Nonato
GD02_88-99.pdf,GD02,Computing and Drawing Isomorphic Subgraphs,10.1007/3-540-36151-0_8,88-99,Sabine Bachl; Franz-Josef Brandenburg
GD02_100-111.pdf,GD02,A Group-Theoretic Method for Drawing Graphs Symmetrically,10.1007/3-540-36151-0_9,100-111,David Abelson; Seok-Hee Hong; Donald E. Taylor
GD02_112-123.pdf,GD02,A Branch-and-Cut Approach to the Directed Acyclic Graph Layering Problem,10.1007/3-540-36151-0_10,112-123,Patrick Healy; Nikola S. Nikolov
GD02_124-131.pdf,GD02,Geometric Systems of Disjoint Representatives,10.1007/3-540-36151-0_11,124-131,Jiří Fiala; Jan Kratochvíl; Andrzej Proskurowski
GD02_132-143.pdf,GD02,An Eﬃcient Fixed Parameter Tractable Algorithm for 1-Sided Crossing Minimization,10.1007/3-540-36151-0_12 ,132-143,Vida Dujmović; Sue Whitesides
GD02_144-155.pdf,GD02,Simple and Eﬃcient Bilayer Cross Counting,10.1007/3-540-36151-0_13 ,144-155,Wilhelm Barth; Michael Jünger; Petra Mutzel
GD02_156-163.pdf,GD02,Orthogonal 3D Shapes of Theta Graphs,10.1007/3-540-36151-0_14,156-163,Emilio Di Giacomo; Giuseppe Liotta; Maurizio Patrignani
GD02_164-176.pdf,GD02,Separating Thickness from Geometric Thickness,10.1007/3-540-36151-0_15,164-176,David Eppstein
GD02_177-188.pdf,GD02,Book Embeddings and Point-Set Embeddings of Series-Parallel Digraphs,10.1007/3-540-36151-0_16,177-188,Emilio Di Giacomo; Walter Didimo; Giuseppe Liotta; Stephen K. Wismath
GD02_189-201.pdf,GD02,Compact Encodings of Planar Orthogonal Drawings,10.1007/3-540-36151-0_17,189-201,Amrita Chanda; Ashim Garg
GD02_202-208.pdf,GD02,Fractional Lengths and Crossing Numbers,10.1007/3-540-36151-0_18,202-208,Ondrej Sýkora; László A. Székely; Imrich Vrt’o
GD02_209-222.pdf,GD02,Drawing Directed Graphs Using One-Dimensional Optimization,10.1007/3-540-36151-0_19,209-222,Liran Carmel; David Harel; Yehuda Koren
GD02_223-235.pdf,GD02,Graph Drawing by High-Dimensional Embedding,10.1007/3-540-36151-0_20,223-235,David Harel; Yehuda Koren
GD02_236-252.pdf,GD02,C Advances in -Planarity Testing of Clustered Graphs,10.1007/3-540-36151-0_21,236-252,Carsten Gutwenger; Michael Jünger; Sebastian Leipert; Petra Mutzel; Merijam Percan; René Weiskircher
GD02_253-260.pdf,GD02,"HGV: A Library for Hierarchies, Graphs, and Views",10.1007/3-540-36151-0_22,253-260,Marcus Raitner
GD02_261-272.pdf,GD02,Rectangular Drawings of Planar Graphs,10.1007/3-540-36151-0_23 ,261-272,Md. Saidur Rahman; Takao Nishizeki; Shubhashis Ghosh
GD02_273-284.pdf,GD02,Extended Rectangular Drawings of Plane Graphs with Designated Corners,10.1007/3-540-36151-0_24,273-284,Kazuyuki Miura; Ayako Miyazawa; Takao Nishizeki
GD02_285-292.pdf,GD02,RINGS: A Technique for Visualizing Large Hierarchies,10.1007/3-540-36151-0_25,285-292,Soon Tee Teoh; Ma Kwan-Liu
GD02_293-301.pdf,GD02,Applying Crossing Reduction Strategies to Layered Compound Graphs,10.1007/3-540-36151-0_26,293-301,Michael Forster
GD02_302-311.pdf,GD02,Crossing Reduction by Windows Optimization,10.1007/3-540-36151-0_27,302-311,Thomas Eschbach; Wolfgang Günther; Rolf Drechsler; Bernd Becker
GD02_312-328.pdf,GD02,Geometric Graphs with No Self-intersecting Path of Length Three,10.1007/3-540-36151-0_23 ,312-328,Md. Saidur Rahman; Takao Nishizeki; Shubhashis Ghosh
GD02_329-336.pdf,GD02,Two New Heuristics for Two-Sided Bipartite Graph Drawing,10.1007/3-540-36151-0_29,329-336,Matthew Newton; Ondrej Sýkora; Imrich Vrt’o
GD02_337-349.pdf,GD02,Straight-Line Drawings of Binary Trees with Linear Area and Arbitrary Aspect Ratio,10.1007/3-540-36151-0_30,337-349,Ashim Garg; Adrian Rusu
GD02_350-361.pdf,GD02,Some Applications of Orderly Spanning Trees in Graph Drawing,10.1007/3-540-36151-0_31,350-361,Ho-Lin Chen; Chien-Chih Liao; Hsueh-I Lu; Hsu-Chun Yen
GD02_362-371.pdf,GD02,Improving Walker’s Algorithm to Run in Linear Time,10.1007/3-540-36151-0_32,362-371,Christoph Buchheim; Michael Jünger; Sebastian Leipert
GD02_372-379.pdf,GD02,Semi-dynamic Orthogonal Drawings of Planar Graphs,10.1007/3-540-36151-0_33,372-379,Walter Bachl
GD03_16-27.pdf,GD03,Conﬂuent Drawings: Visualizing Non-planar Diagrams in a Planar Way,10.1007/978-3-540-24595-7_1,16-27,Matthew Dickerson; David Eppstein; Michael T. Goodrich; Jeremy Yu Meng
GD03_28-39.pdf,GD03,An Experimental Study of Crossing Minimization Heuristics,10.1007/978-3-540-24595-7_2,28-39,Carsten Gutwenger; Petra Mutzel
GD03_40-51.pdf,GD03,Stop Minding Your P’s and Q’s: Implementing a Fast and Simple DFS-Based Planarity Testing and Embedding Algorithm,10.1007/978-3-540-24595-7_3,40-51,John M. Boyer; Pier Francesco Cortese; Maurizio Patrignani; Giuseppe Di Battista
GD03_52-61.pdf,GD03,k Bounds and Methods for -Planar Crossing Numbers,10.1007/978-3-540-24595-7_4,52-61,Farhad Shahrokhi; Ondrej Sýkora; Laszlo A. Székely; Imrich Vrt’o
GD03_62-73.pdf,GD03,How Many Ways Can One Draw a Graph?,10.1007/978-3-540-24595-7_5,62-73,János Pach; Géza Tóth
GD03_74-85.pdf,GD03,Two Results on Intersection Graphs of Polygons,10.1007/978-3-540-24595-7_6,74-85,Jan Kratochvíl; Martin Pergel
GD03_86-100.pdf,GD03,Stretching of Jordan Arc Contact Systems,10.1007/978-3-540-24595-7_7,86-100,Hubert de Fraysseix; Patrice Ossona de Mendez
GD03_101-112.pdf,GD03,Noncrossing Hamiltonian Paths in Geometric Graphs,10.1007/978-3-540-24595-7_8,101-112,Jakub Černý; Zdeněk Dvořák; Vít Jelínek; Jan Kára
GD03_113-125.pdf,GD03,GraphAEL : Graph Animations with Evolving Layouts,10.1007/978-3-540-24595-7_9,113-125,Cesim Erten; Philip J. Harding; Stephen G. Kobourov; Kevin Wampler; Gary Yee
GD03_126-137.pdf,GD03,Visualizing Related Metabolic Pathways in Two and a Half Dimensions,10.1007/978-3-540-24595-7_10,126-137,Ulrik Brandes; Tim Dwyer; Falk Schreiber
GD03_138-143.pdf,GD03,GoVisual for CASE Tools Borland Together ControlCenter and Gentleware Poseidon – System Demonstration,10.1007/978-3-540-24595-7_11,138-143,Carsten Gutwenger; Joachim Kupke; Karsten Klein; Sebastian Leipert
GD03_144-149.pdf,GD03,Area-Eﬃcient Drawings of Outerplanar Graphs,10.1007/978-3-540-24595-7_12 ,144-149,Ashim Garg; Adrian Rusu
GD03_150-161.pdf,GD03,A Framework for User-Grouped Circular Drawings,10.1007/978-3-540-24595-7_13,150-161,Janet M. Six; Ioannis G. Tollis
GD03_162-173.pdf,GD03,Fixed-Location Circular-Arc Drawing of Planar Graphs,10.1007/978-3-540-24595-7_14 ,162-173,Alon Efrat; Cesim Erten; Stephen G. Kobourov
GD03_174-180.pdf,GD03,A More Practical Algorithm for Drawing Binary Trees in Linear Area with Arbitrary Aspect Ratio,10.1007/978-3-540-24595-7_15,174-180,Ashim Garg; Adrian Rusu
GD03_181-192.pdf,GD03,An Integer Programming Approach to Fuzzy Symmetry Detection,10.1007/978-3-540-24595-7_16,181-192,Christoph Buchheim; Michael Jünger
GD03_193-204.pdf,GD03,Barycentric Drawings of Periodic Graphs,10.1007/978-3-540-24595-7_17,193-204,Olaf Delgado-Friedrichs
GD03_205-216.pdf,GD03,Three-Dimensional Grid Drawings with Sub-quadratic Volume,10.1007/978-3-540-24595-7_18,205-216,Vida Dujmović; David R. Wood
GD03_217-228.pdf,GD03,Laying Out Iterated Line Digraphs Using Queues,10.1007/978-3-540-24595-7_19,217-228,Toru Hasunuma
GD03_229-240.pdf,GD03,Track Drawings of Graphs with Constant Queue Number,10.1007/978-3-540-24595-7_20,229-240,Emilio Di Giacomo; Henk Meijer
GD03_241-252.pdf,GD03,3D Visibility Representations of Complete Graphs,10.1007/978-3-540-24595-7_21,241-252,Jan Štola
GD03_253-261.pdf,GD03,Drawing Series-Parallel Graphs on Restricted Integer 3D Grids,10.1007/978-3-540-24595-7_22,253-261,Emilio Di Giacomo
GD03_262-273.pdf,GD03,Nearly Optimal Three Dimensional Layout of Hypercube Networks,10.1007/978-3-540-24595-7_23,262-273,Tiziana Calamoneri; Annalisa Massini
GD03_274-287.pdf,GD03,Graph Embedding with Minimum Depth and Maximum External Face,10.1007/978-3-540-24595-7_24,274-287,Carsten Gutwenger; Petra Mutzel
GD03_288-297.pdf,GD03,More Eﬃcient Generation of Plane Triangulations,10.1007/978-3-540-24595-7_25,288-297,Shin-ichi Nakano; Takeaki Uno
GD03_298-309.pdf,GD03,Planar Embeddings of Graphs with Speciﬁed Edge Lengths,10.1007/978-3-540-24595-7_26,298-309,Sergio Cabello; Erik D. Demaine; Günter Rote
GD03_310-321.pdf,GD03,BGPlay: A System for Visualizing the Interdomain Routing Evolution,10.1007/978-3-540-24595-7_27,310-321,Giuseppe Di Battista; Federico Mariani; Maurizio Patrignani; Maurizio Pizzonia
GD03_322-328.pdf,GD03,GraphEx: An Improved Graph Translation Service,10.1007/978-3-540-24595-7_28,322-328,Stina Bridgeman
GD03_329-334.pdf,GD03,"A Constrained, Force-Directed Layout Algorithm for Biological Pathways",10.1007/978-3-540-24595-7_29,329-334,Burkay Genc; Ugur Dogrusoz
GD03_335-346.pdf,GD03,Intersection-Free Morphing of Planar Graphs,10.1007/978-3-540-24595-7_30,335-346,Cesim Erten; Stephen G. Kobourov; Chandan Pitta
GD03_347-359.pdf,GD03,Fixed Parameter Algorithms for one-sided crossing minimization Revisited,10.1007/978-3-540-24595-7_31,347-359,Vida Dujmović; Henning Fernau; Michael Kaufmann
GD03_360-371.pdf,GD03,Experiments with the Fixed-Parameter Approach for Two-Layer Planarization,10.1007/978-3-540-24595-7_32,360-371,Matthew Suderman; Sue Whitesides
GD03_372-383.pdf,GD03,Characterizing Families of Cuts That Can Be Represented by Axis-Parallel Rectangles,10.1007/978-3-540-24595-7_33,372-383,Ulrik Brandes; Sabine Cornelsen; Dorothea Wagner
GD03_384-395.pdf,GD03,Convex Drawing for c-Planar Biconnected Clustered Graphs,10.1007/978-3-540-24595-7_34,384-395,Hiroshi Nagamochi; Katsutoshi Kuroya
GD03_396-401.pdf,GD03,Layout of Directed Hypergraphs with Orthogonal Hyperedges,10.1007/978-3-540-24595-7_35,396-401,Georg Sander
GD03_402-407.pdf,GD03,No-Bend Orthogonal Drawings of Subdivisions of Planar Triconnected Cubic Graphs,10.1007/978-3-540-24595-7_36,402-407,Md. Saidur Rahman; Noritsugu Egi; Takao Nishizeki
GD03_408-420.pdf,GD03,Radial Level Planarity Testing and Embedding in Linear Time,10.1007/978-3-540-24595-7_37,408-420,Christian Bachmaier; Franz J. Brandenburg; Michael Forster
GD03_421-433.pdf,GD03,An Improved Approximation to the One-Sided Bilayer Drawing,10.1007/978-3-540-24595-7_38,421-433,Hiroshi Nagamochi
GD03_434-439.pdf,GD03,Straight-Line Drawings of 2-Outerplanar Graphs on Two Curves,10.1007/978-3-540-24595-7_39,434-439,Emilio Di Giacomo; Walter Didimo
GD03_440-451.pdf,GD03,An Energy Model for Visual Graph Clustering,10.1007/978-3-540-24595-7_40,440-451,Andreas Noack
GD03_452-464.pdf,GD03,Simultaneous Graph Drawing: Layout Algorithms and Visualization Schemes,10.1007/978-3-540-24595-7_41,452-464,Cesim Erten; Stephen G. Kobourov; Vu Le; Armand Navabi
GD03_465-474.pdf,GD03,Axis-by-Axis Stress Minimization,10.1007/978-3-540-24595-7_42,465-474,Yehuda Koren; David Harel
GD03_475-480.pdf,GD03,Drawing Graphs with Nonuniform Nodes Using Potential Fields,10.1007/978-3-540-24595-7_43,475-480,Jen-Hui Chuang; Chun-Cheng Lin; Hsu-Chun Yen
GD03_481-492.pdf,GD03,Drawing Area-Proportional Venn and Euler Diagrams,10.1007/978-3-540-24595-7_44,481-492,Stirling Chow; Frank Ruskey
GD03_493-505.pdf,GD03,Optimal Pants Decompositions and Shortest Homotopic Cycles on an Orientable Surface,10.1007/978-3-540-24595-7_45,493-505,Éric Colin de Verdière; Francis Lazarus
GD04_13-23.pdf,GD04,Reconﬁguring Triangulations with Edge Flips and Point Moves,10.1007/978-3-540-31843-9_1 ,13-23,Greg Aloupis; Prosenjit Bose; Pat Morin
GD04_24-29.pdf,GD04,Drawing Power Law Graphs,10.1007/978-3-540-31843-9_2,24-29,Reid Andersen; Fan Chung; Lincoln Lu
GD04_30-36.pdf,GD04,Hexagonal Grid Drawings: Algorithms and Lower Bounds,10.1007/978-3-540-31843-9_3,30-36,Shabnam Aziza; Therese Biedl
GD04_37-47.pdf,GD04,"≤ k Improved Bounds for the Number of ( )-Sets, Convex Quadrilaterals, K and the Rectilinear Crossing Number of",10.1007/978-3-540-31843-9_4,37-47,József Balogh; Gelasio Salazar
GD04_48-54.pdf,GD04,On the Realizable Weaving Patterns R of Polynomial Curves in,10.1007/978-3-540-31843-9_5,48-54,Saugata Basu; Raghavan Dhandapani; Richard Pollack
GD04_55-60.pdf,GD04,Drawing the AS Graph in 2.5 Dimensions,10.1007/978-3-540-31843-9_6,55-60,Michael Baur; Ulrik Brandes; Marco Gaertler; Dorothea Wagner
GD04_61-71.pdf,GD04,Boundary Labeling: Models and Eﬃcient Algorithms for Rectangular Maps,10.1007/978-3-540-31843-9_7,61-71,Michael A. Bekos; Michael Kaufmann; Antonios Symvonis; Alexander Wolff
GD04_72-82.pdf,GD04,Convex Drawings of 3-Connected Plane Graphs,10.1007/978-3-540-31843-9_8,72-82,Nicolas Bonichon; Stefan Felsner; Mohamed Mosbah
GD04_83-93.pdf,GD04,Partitions of Complete Geometric Graphs into Plane Trees,10.1007/978-3-540-31843-9_9,83-93,Prosenjit Bose; Ferran Hurtado; Eduardo Rivera-Campo; David R. Wood
GD04_94-100.pdf,GD04,Additional PC-Tree Planarity Conditions,10.1007/978-3-540-31843-9_10,94-100,John M. Boyer
GD04_101-111.pdf,GD04,GraphML Transformation,10.1007/978-3-540-31843-9_11,101-111,Ulrik Brandes; Christian Pich
GD04_112-122.pdf,GD04,Clustering Cycles into Cycles of Clusters,10.1007/978-3-540-31843-9_12,112-122,Pier Francesco Cortese; Giuseppe Di Battista; Maurizio Patrignani; Maurizio Pizzonia
GD04_123-133.pdf,GD04,Unit Bar-Visibility Layouts of Triangulated Polygons,10.1007/978-3-540-31843-9_13,123-133,Alice M. Dean; Ellen Gethner; Joan P. Hutchinson
GD04_134-144.pdf,GD04,Really Straight Graph Drawings,10.1007/978-3-540-31843-9_14,134-144,Vida Dujmović; Matthew Suderman; David R. Wood
GD04_145-155.pdf,GD04,Layouts of Graph Subdivisions,10.1007/978-3-540-31843-9_15,145-155,Vida Dujmović; David R. Wood
GD04_156-166.pdf,GD04,Label Number Maximization in the Slider Model,10.1007/978-3-540-31843-9_16,156-166,Dietmar Ebner; Gunnar W. Klau; René Weiskircher
